song,line_type,album,song_order,date
Miss Americana & the Heartbreak Prince,song,Lover,1,2023-08-25
Cruel Summer,song,Lover,2,2023-08-25
The Man,song,Lover,3,2023-08-25
You Need to Calm Down,song,Lover,4,2023-08-25
Lover,song,Lover,5,2023-08-25
The Archer,song,Lover,6,2023-08-25
Fearless,song,Fearless,7,2023-08-25
You Belong With Me,song,Fearless,8,2023-08-25
Love Story,song,Fearless,9,2023-08-25
'tis the damn season,song,evermore,10,2023-08-25
willow,song,evermore,11,2023-08-25
marjorie,song,evermore,12,2023-08-25
champagne problems,song,evermore,13,2023-08-25
tolerate it,song,evermore,14,2023-08-25
...Ready for It?,song,reputation,15,2023-08-25
Delicate,song,reputation,16,2023-08-25
Don't Blame Me,song,reputation,17,2023-08-25
Look What You Made Me Do,song,reputation,18,2023-08-25
Enchanted,song,Speak Now,19,2023-08-25
Long Live,song,Speak Now,20,2023-08-25
Red - Intro,song,Red,21,2023-08-25
22,song,Red,22,2023-08-25
We Are Never Ever Getting Back Together,song,Red,23,2023-08-25
I Knew You Were Trouble,song,Red,24,2023-08-25
All Too Well,song,Red,25,2023-08-25
seven,song,folklore,26,2023-08-25
the 1,song,folklore,27,2023-08-25
betty,song,folklore,28,2023-08-25
the last great american dynasty,song,folklore,29,2023-08-25
august,song,folklore,30,2023-08-25
illicit affairs,song,folklore,31,2023-08-25
my tears ricochet,song,folklore,32,2023-08-25
cardigan,song,folklore,33,2023-08-25
Style,song,1989,34,2023-08-25
Blank Space,song,1989,35,2023-08-25
Shake It Off,song,1989,36,2023-08-25
Wildest Dreams,song,1989,37,2023-08-25
Bad Blood,song,1989,38,2023-08-25
Tell Me Why,song,Surprise Songs,39,2023-08-25
Snow on the Beach,song,Surprise Songs,40,2023-08-25
Lavender Haze,song,Midnights,41,2023-08-25
Anti‐Hero,song,Midnights,42,2023-08-25
Midnight Rain,song,Midnights,43,2023-08-25
Vigilante Shit,song,Midnights,44,2023-08-25
Bejeweled,song,Midnights,45,2023-08-25
Mastermind,song,Midnights,46,2023-08-25
