Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,EM1,408,1.0000
Bald Head Island,Brunswick County,NC,EM2,63,1.0000
Bald Head Island,Brunswick County,NC,EM3,21,1.0000
Bald Head Island,Brunswick County,NC,EM4,284,1.0000
Bald Head Island,Brunswick County,NC,EM5,0,1.0000
Bald Head Island,Brunswick County,NC,EM6,40,1.0000
Caswell Beach,Brunswick County,NC,EM1,89,1.0000
Caswell Beach,Brunswick County,NC,EM2,19,1.0000
Caswell Beach,Brunswick County,NC,EM3,10,1.0000
Caswell Beach,Brunswick County,NC,EM4,48,1.0000
Caswell Beach,Brunswick County,NC,EM5,0,1.0000
Caswell Beach,Brunswick County,NC,EM6,12,1.0000
Holden Beach,Brunswick County,NC,EM1,286,1.0000
Holden Beach,Brunswick County,NC,EM2,49,1.0000
Holden Beach,Brunswick County,NC,EM3,27,1.0000
Holden Beach,Brunswick County,NC,EM4,176,1.0000
Holden Beach,Brunswick County,NC,EM5,3,1.0000
Holden Beach,Brunswick County,NC,EM6,31,1.0000
Oak Island,Brunswick County,NC,EM1,2553,1.0000
Oak Island,Brunswick County,NC,EM2,512,1.0000
Oak Island,Brunswick County,NC,EM3,281,1.0000
Oak Island,Brunswick County,NC,EM4,1206,1.0000
Oak Island,Brunswick County,NC,EM5,19,1.0000
Oak Island,Brunswick County,NC,EM6,535,1.0000
Ocean Isle Beach,Brunswick County,NC,EM1,722,1.0000
Ocean Isle Beach,Brunswick County,NC,EM2,169,1.0000
Ocean Isle Beach,Brunswick County,NC,EM3,39,1.0000
Ocean Isle Beach,Brunswick County,NC,EM4,403,1.0000
Ocean Isle Beach,Brunswick County,NC,EM5,2,1.0000
Ocean Isle Beach,Brunswick County,NC,EM6,109,1.0000
Sunset Beach,Brunswick County,NC,EM1,1608,1.0000
Sunset Beach,Brunswick County,NC,EM2,238,1.0000
Sunset Beach,Brunswick County,NC,EM3,293,1.0000
Sunset Beach,Brunswick County,NC,EM4,854,1.0000
Sunset Beach,Brunswick County,NC,EM5,0,1.0000
Sunset Beach,Brunswick County,NC,EM6,223,1.0000
Unincorporated Brunswick,Brunswick County,NC,EM1,20287,1.0000
Unincorporated Brunswick,Brunswick County,NC,EM2,7366,1.0000
Unincorporated Brunswick,Brunswick County,NC,EM3,3131,1.0000
Unincorporated Brunswick,Brunswick County,NC,EM4,6550,1.0000
Unincorporated Brunswick,Brunswick County,NC,EM5,228,1.0000
Unincorporated Brunswick,Brunswick County,NC,EM6,3012,1.0000
Atlantic Beach,Carteret County,NC,EM1,1882,1.0000
Atlantic Beach,Carteret County,NC,EM2,189,1.0000
Atlantic Beach,Carteret County,NC,EM3,180,1.0000
Atlantic Beach,Carteret County,NC,EM4,1265,1.0000
Atlantic Beach,Carteret County,NC,EM5,13,1.0000
Atlantic Beach,Carteret County,NC,EM6,235,1.0000
Emerald Isle,Carteret County,NC,EM1,2484,1.0000
Emerald Isle,Carteret County,NC,EM2,284,1.0000
Emerald Isle,Carteret County,NC,EM3,293,1.0000
Emerald Isle,Carteret County,NC,EM4,1449,1.0000
Emerald Isle,Carteret County,NC,EM5,13,1.0000
Emerald Isle,Carteret County,NC,EM6,445,1.0000
Indian Beach,Carteret County,NC,EM1,204,1.0000
Indian Beach,Carteret County,NC,EM2,28,1.0000
Indian Beach,Carteret County,NC,EM3,24,1.0000
Indian Beach,Carteret County,NC,EM4,135,1.0000
Indian Beach,Carteret County,NC,EM5,0,1.0000
Indian Beach,Carteret County,NC,EM6,17,1.0000
Pine Knoll Shores,Carteret County,NC,EM1,462,1.0000
Pine Knoll Shores,Carteret County,NC,EM2,68,1.0000
Pine Knoll Shores,Carteret County,NC,EM3,18,1.0000
Pine Knoll Shores,Carteret County,NC,EM4,364,1.0000
Pine Knoll Shores,Carteret County,NC,EM5,0,1.0000
Pine Knoll Shores,Carteret County,NC,EM6,12,1.0000
Unincorporated Carteret,Carteret County,NC,EM1,5056,1.0000
Unincorporated Carteret,Carteret County,NC,EM2,1440,1.0000
Unincorporated Carteret,Carteret County,NC,EM3,1180,1.0000
Unincorporated Carteret,Carteret County,NC,EM4,1551,1.0000
Unincorporated Carteret,Carteret County,NC,EM5,114,1.0000
Unincorporated Carteret,Carteret County,NC,EM6,771,1.0000
Unincorporated Currituck,Currituck County,NC,EM1,7255,1.0000
Unincorporated Currituck,Currituck County,NC,EM2,1943,1.0000
Unincorporated Currituck,Currituck County,NC,EM3,1059,1.0000
Unincorporated Currituck,Currituck County,NC,EM4,3173,1.0000
Unincorporated Currituck,Currituck County,NC,EM5,42,1.0000
Unincorporated Currituck,Currituck County,NC,EM6,1038,1.0000
Avon,Dare County,NC,EM1,808,1.0000
Avon,Dare County,NC,EM2,39,1.0000
Avon,Dare County,NC,EM3,27,1.0000
Avon,Dare County,NC,EM4,533,1.0000
Avon,Dare County,NC,EM5,5,1.0000
Avon,Dare County,NC,EM6,204,1.0000
Buxton,Dare County,NC,EM1,806,1.0000
Buxton,Dare County,NC,EM2,234,1.0000
Buxton,Dare County,NC,EM3,84,1.0000
Buxton,Dare County,NC,EM4,362,1.0000
Buxton,Dare County,NC,EM5,0,1.0000
Buxton,Dare County,NC,EM6,126,1.0000
Duck,Dare County,NC,EM1,1204,1.0000
Duck,Dare County,NC,EM2,80,1.0000
Duck,Dare County,NC,EM3,18,1.0000
Duck,Dare County,NC,EM4,886,1.0000
Duck,Dare County,NC,EM5,2,1.0000
Duck,Dare County,NC,EM6,218,1.0000
Frisco,Dare County,NC,EM1,324,1.0000
Frisco,Dare County,NC,EM2,77,1.0000
Frisco,Dare County,NC,EM3,31,1.0000
Frisco,Dare County,NC,EM4,113,1.0000
Frisco,Dare County,NC,EM5,5,1.0000
Frisco,Dare County,NC,EM6,98,1.0000
Hatteras,Dare County,NC,EM1,575,1.0000
Hatteras,Dare County,NC,EM2,148,1.0000
Hatteras,Dare County,NC,EM3,38,1.0000
Hatteras,Dare County,NC,EM4,284,1.0000
Hatteras,Dare County,NC,EM5,12,1.0000
Hatteras,Dare County,NC,EM6,93,1.0000
Kill Devil Hills,Dare County,NC,EM1,5924,1.0000
Kill Devil Hills,Dare County,NC,EM2,1083,1.0000
Kill Devil Hills,Dare County,NC,EM3,563,1.0000
Kill Devil Hills,Dare County,NC,EM4,3039,1.0000
Kill Devil Hills,Dare County,NC,EM5,4,1.0000
Kill Devil Hills,Dare County,NC,EM6,1235,1.0000
Kitty Hawk,Dare County,NC,EM1,3381,1.0000
Kitty Hawk,Dare County,NC,EM2,636,1.0000
Kitty Hawk,Dare County,NC,EM3,449,1.0000
Kitty Hawk,Dare County,NC,EM4,1454,1.0000
Kitty Hawk,Dare County,NC,EM5,6,1.0000
Kitty Hawk,Dare County,NC,EM6,836,1.0000
Nags Head,Dare County,NC,EM1,5475,1.0000
Nags Head,Dare County,NC,EM2,1549,1.0000
Nags Head,Dare County,NC,EM3,381,1.0000
Nags Head,Dare County,NC,EM4,2480,1.0000
Nags Head,Dare County,NC,EM5,8,1.0000
Nags Head,Dare County,NC,EM6,1057,1.0000
Rodanthe,Dare County,NC,EM1,19,1.0000
Rodanthe,Dare County,NC,EM2,0,1.0000
Rodanthe,Dare County,NC,EM3,3,1.0000
Rodanthe,Dare County,NC,EM4,0,1.0000
Rodanthe,Dare County,NC,EM5,0,1.0000
Rodanthe,Dare County,NC,EM6,16,1.0000
Salvo,Dare County,NC,EM1,5,1.0000
Salvo,Dare County,NC,EM2,0,1.0000
Salvo,Dare County,NC,EM3,0,1.0000
Salvo,Dare County,NC,EM4,5,1.0000
Salvo,Dare County,NC,EM5,0,1.0000
Salvo,Dare County,NC,EM6,0,1.0000
Southern Shores,Dare County,NC,EM1,1820,1.0000
Southern Shores,Dare County,NC,EM2,309,1.0000
Southern Shores,Dare County,NC,EM3,178,1.0000
Southern Shores,Dare County,NC,EM4,900,1.0000
Southern Shores,Dare County,NC,EM5,7,1.0000
Southern Shores,Dare County,NC,EM6,426,1.0000
Unincorporated Dare,Dare County,NC,EM1,3001,1.0000
Unincorporated Dare,Dare County,NC,EM2,829,1.0000
Unincorporated Dare,Dare County,NC,EM3,594,1.0000
Unincorporated Dare,Dare County,NC,EM4,1213,1.0000
Unincorporated Dare,Dare County,NC,EM5,48,1.0000
Unincorporated Dare,Dare County,NC,EM6,317,1.0000
Waves,Dare County,NC,EM1,533,1.0000
Waves,Dare County,NC,EM2,37,1.0000
Waves,Dare County,NC,EM3,45,1.0000
Waves,Dare County,NC,EM4,322,1.0000
Waves,Dare County,NC,EM5,8,1.0000
Waves,Dare County,NC,EM6,121,1.0000
Ocracoke,Hyde County,NC,EM1,956,1.0000
Ocracoke,Hyde County,NC,EM2,252,1.0000
Ocracoke,Hyde County,NC,EM3,20,1.0000
Ocracoke,Hyde County,NC,EM4,570,1.0000
Ocracoke,Hyde County,NC,EM5,4,1.0000
Ocracoke,Hyde County,NC,EM6,110,1.0000
Unincorporated Hyde,Hyde County,NC,EM1,929,1.0000
Unincorporated Hyde,Hyde County,NC,EM2,347,1.0000
Unincorporated Hyde,Hyde County,NC,EM3,93,1.0000
Unincorporated Hyde,Hyde County,NC,EM4,93,1.0000
Unincorporated Hyde,Hyde County,NC,EM5,181,1.0000
Unincorporated Hyde,Hyde County,NC,EM6,215,1.0000
Carolina Beach,New Hanover County,NC,EM1,7985,1.0000
Carolina Beach,New Hanover County,NC,EM2,757,1.0000
Carolina Beach,New Hanover County,NC,EM3,4396,1.0000
Carolina Beach,New Hanover County,NC,EM4,2028,1.0000
Carolina Beach,New Hanover County,NC,EM5,2,1.0000
Carolina Beach,New Hanover County,NC,EM6,802,1.0000
Kure Beach,New Hanover County,NC,EM1,1009,1.0000
Kure Beach,New Hanover County,NC,EM2,217,1.0000
Kure Beach,New Hanover County,NC,EM3,120,1.0000
Kure Beach,New Hanover County,NC,EM4,613,1.0000
Kure Beach,New Hanover County,NC,EM5,4,1.0000
Kure Beach,New Hanover County,NC,EM6,55,1.0000
Unincorporated New Hanover,New Hanover County,NC,EM1,8055,1.0000
Unincorporated New Hanover,New Hanover County,NC,EM2,1654,1.0000
Unincorporated New Hanover,New Hanover County,NC,EM3,1499,1.0000
Unincorporated New Hanover,New Hanover County,NC,EM4,2481,1.0000
Unincorporated New Hanover,New Hanover County,NC,EM5,22,1.0000
Unincorporated New Hanover,New Hanover County,NC,EM6,2399,1.0000
Wrightsville Beach,New Hanover County,NC,EM1,3099,1.0000
Wrightsville Beach,New Hanover County,NC,EM2,501,1.0000
Wrightsville Beach,New Hanover County,NC,EM3,320,1.0000
Wrightsville Beach,New Hanover County,NC,EM4,1814,1.0000
Wrightsville Beach,New Hanover County,NC,EM5,7,1.0000
Wrightsville Beach,New Hanover County,NC,EM6,457,1.0000
North Topsail Beach,Onslow County,NC,EM1,294,1.0000
North Topsail Beach,Onslow County,NC,EM2,78,1.0000
North Topsail Beach,Onslow County,NC,EM3,62,1.0000
North Topsail Beach,Onslow County,NC,EM4,136,1.0000
North Topsail Beach,Onslow County,NC,EM5,8,1.0000
North Topsail Beach,Onslow County,NC,EM6,10,1.0000
Surf City,Onslow County,NC,EM1,133,1.0000
Surf City,Onslow County,NC,EM2,8,1.0000
Surf City,Onslow County,NC,EM3,21,1.0000
Surf City,Onslow County,NC,EM4,85,1.0000
Surf City,Onslow County,NC,EM5,0,1.0000
Surf City,Onslow County,NC,EM6,19,1.0000
Unincorporated Onslow,Onslow County,NC,EM1,16434,1.0000
Unincorporated Onslow,Onslow County,NC,EM2,5184,1.0000
Unincorporated Onslow,Onslow County,NC,EM3,3605,1.0000
Unincorporated Onslow,Onslow County,NC,EM4,5120,1.0000
Unincorporated Onslow,Onslow County,NC,EM5,320,1.0000
Unincorporated Onslow,Onslow County,NC,EM6,2205,1.0000
Surf City,Pender County,NC,EM1,2334,1.0000
Surf City,Pender County,NC,EM2,380,1.0000
Surf City,Pender County,NC,EM3,268,1.0000
Surf City,Pender County,NC,EM4,1018,1.0000
Surf City,Pender County,NC,EM5,7,1.0000
Surf City,Pender County,NC,EM6,661,1.0000
Topsail Beach,Pender County,NC,EM1,190,1.0000
Topsail Beach,Pender County,NC,EM2,55,1.0000
Topsail Beach,Pender County,NC,EM3,27,1.0000
Topsail Beach,Pender County,NC,EM4,85,1.0000
Topsail Beach,Pender County,NC,EM5,0,1.0000
Topsail Beach,Pender County,NC,EM6,23,1.0000
Unincorporated Pender,Pender County,NC,EM1,8751,1.0000
Unincorporated Pender,Pender County,NC,EM2,2422,1.0000
Unincorporated Pender,Pender County,NC,EM3,1878,1.0000
Unincorporated Pender,Pender County,NC,EM4,2512,1.0000
Unincorporated Pender,Pender County,NC,EM5,417,1.0000
Unincorporated Pender,Pender County,NC,EM6,1522,1.0000
